                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4137,                 5.4405,                 2.1612,                 0.4407,                0.06375,                0.02665,                 0.0076,                 2.4257,                 4.1614,                 2.0365,               0.070178,              0.0033136,              0.0033136
                      1,                  2.343,                 4.1824,                 2.0445,                0.25073,                0.07423,                0.01987,                0.00915,                  2.617,                 4.8541,                 2.2921,               0.039519,              0.0059889,              0.0059889
                      2,                  2.421,                 3.8948,                 2.1795,                0.51869,                0.09602,                0.01586,                  0.005,                 2.9099,                 8.0748,                 2.5158,              0.0082014,              0.0080042,              0.0080042
                      3,                 2.5019,                 3.7215,                 2.2133,                0.23607,                0.14241,                0.01885,                0.00657,                 2.7083,                 5.2088,                  2.365,                0.00703,                0.00703,                0.00703
                      4,                 2.4664,                 3.5198,                 2.1926,                 0.3319,                0.07545,                0.06589,                0.02941,                 2.7229,                 3.6782,                 2.3015,                0.00703,                0.00703,                0.00703
                      5,                 2.3827,                 3.2964,                 2.1258,                 0.1477,                0.05637,                0.05092,                 0.0203,                   2.67,                 3.5396,                 2.3154,                0.00604,                0.00604,                0.00604
                      6,                 2.2902,                 3.1587,                 2.0706,                 0.3238,                0.15928,                0.11978,                0.05284,                 2.4137,                 3.4109,                 2.1195,                0.00505,                0.00505,                0.00505
                      7,                 2.2171,                 3.0231,                 2.0251,                0.22796,                0.18735,                0.11396,                0.05083,                 2.3477,                 2.8915,                 2.0394,                0.00406,                0.00406,                0.00406
                      8,                 2.1397,                 2.8616,                 1.9466,                0.24134,                0.18446,                0.14665,                0.07491,                 2.2699,                 2.7412,                 1.9568,                0.00307,                0.00307,                0.00307
                      9,                 2.0662,                 2.7376,                 1.8827,                0.31967,                0.18932,                0.16223,                0.07399,                 2.2129,                 2.6472,                 1.9012,                0.00208,                0.00208,                0.00208
