                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0931,                 2.7778,                 1.8496,                0.25891,                0.22464,                0.17031,                0.08822,                 2.1935,                 2.7029,                 1.8918,               0.070178,              0.0033136,              0.0033136
                      1,                 2.0659,                 2.7312,                 1.8209,                 0.3055,                0.18316,                0.13283,                0.06174,                 2.1844,                 3.0642,                 1.9512,               0.040112,              0.0065811,              0.0065811
                      2,                 2.1291,                 2.8296,                 1.8838,                0.32058,                0.20063,                 0.1244,                0.05341,                 2.3323,                 2.9606,                 1.9871,              0.0099799,              0.0097827,              0.0097827
                      3,                  2.195,                 2.9604,                 1.9309,                0.14297,                0.14569,                0.07497,                0.02546,                 2.3644,                 3.2925,                 2.0546,               0.009703,               0.009703,               0.009703
                      4,                 2.2487,                 2.9708,                 1.9748,                0.23475,                0.13673,                0.09104,                0.03851,                 2.3579,                   3.91,                 2.1299,               0.009703,               0.009703,               0.009703
                      5,                 2.2077,                  2.873,                 1.9312,                0.18882,                0.13747,                0.08847,                0.03354,                 2.4142,                 3.0686,                 2.0694,               0.009604,               0.009604,               0.009604
                      6,                 2.1734,                 2.8184,                 1.9048,                0.11278,                0.20644,                 0.0935,                0.03815,                 2.2647,                 3.0918,                 2.0127,               0.009505,               0.009505,               0.009505
                      7,                 2.1553,                  2.751,                 1.8757,                0.33166,                0.18177,                0.13063,                0.05694,                 2.3126,                 3.2421,                 2.0238,               0.009406,               0.009406,               0.009406
                      8,                  2.142,                 2.7581,                 1.8859,                0.39266,                0.13923,                0.08769,                 0.0338,                 2.2825,                  3.833,                 2.0384,               0.009307,               0.009307,               0.009307
                      9,                 2.1275,                 2.7214,                 1.8682,                0.24861,                0.21586,                0.17011,                0.06766,                 2.2636,                 2.9969,                 1.9577,               0.009208,               0.009208,               0.009208
                     10,                 2.1001,                 2.7244,                 1.8506,                0.21821,                0.22634,                0.10899,                0.04056,                  2.352,                 3.2431,                 2.0517,               0.009109,               0.009109,               0.009109
                     11,                 2.0832,                 2.6855,                 1.8462,                0.21915,                0.18289,                 0.1317,                0.05591,                 2.2578,                 2.9016,                 1.9681,                0.00901,                0.00901,                0.00901
                     12,                 2.0823,                 2.6327,                 1.8251,                0.26631,                0.21474,                0.15571,                0.07039,                 2.2214,                 2.9744,                 1.9571,               0.008911,               0.008911,               0.008911
                     13,                 2.0298,                  2.582,                 1.7994,                0.30993,                0.20893,                0.17817,                0.08938,                 2.1805,                 2.7057,                  1.916,               0.008812,               0.008812,               0.008812
                     14,                   2.02,                 2.5621,                 1.8009,                0.30506,                  0.224,                0.18566,                0.08203,                 2.1538,                 2.6958,                 1.8487,               0.008713,               0.008713,               0.008713
                     15,                 2.0239,                  2.557,                 1.8235,                 0.2544,                0.21169,                0.16582,                0.07713,                 2.1429,                 2.8361,                 1.8874,               0.008614,               0.008614,               0.008614
                     16,                 2.0188,                 2.5093,                 1.7912,                0.28455,                 0.2575,                0.18846,                0.08439,                   2.11,                 2.6085,                 1.8446,               0.008515,               0.008515,               0.008515
                     17,                 1.9999,                 2.4899,                 1.7637,                0.32047,                0.19561,                 0.1659,                0.07163,                 2.1416,                 2.8204,                 1.8931,               0.008416,               0.008416,               0.008416
                     18,                 1.9668,                 2.4678,                 1.7443,                0.32188,                  0.262,                0.22113,                0.09354,                 2.1206,                 2.5564,                  1.856,               0.008317,               0.008317,               0.008317
                     19,                 1.9875,                 2.4533,                 1.7728,                0.21838,                0.27664,                0.18259,                0.09342,                 2.1459,                 2.8721,                 1.8838,               0.008218,               0.008218,               0.008218
                     20,                   1.96,                 2.4363,                 1.7289,                0.22613,                0.30403,                0.18443,                0.07755,                 2.1425,                 2.8161,                   1.87,               0.008119,               0.008119,               0.008119
